slice,n,low_sample,roc_auc,pr_auc,brier_score,base_rate
Raw Materials,1023,False,0.6229097723626154,0.2797855667197524,0.2132825815501287,0.187683284457478
Chemicals,1022,False,0.6766513313815699,0.4044354238143994,0.23197289207621574,0.22015655577299412
Custom Fabrication,997,False,0.6508635072372276,0.4763382540565573,0.2840787998829432,0.33600802407221664
Electronics,997,False,0.6382728020325752,0.3288645993804729,0.23318187469932045,0.20661985957873621
MRO,983,False,0.6450640250519332,0.2949210610218048,0.19540965457671933,0.15869786368260427
Packaging,978,False,0.69224859081607,0.31110556525137883,0.20877636498832136,0.1768916155419223
