slice,n,low_sample,roc_auc,pr_auc,brier_score,base_rate
EU-East,1061,False,0.6580196445807075,0.3274106355117101,0.23269262247400957,0.1941564561734213
APAC,1017,False,0.6822662502439977,0.41754022873052815,0.225872680974863,0.2143559488692232
NA-West,996,False,0.6933938746438746,0.4017647165121294,0.2257032150936612,0.21686746987951808
NA-East,991,False,0.7016153200671302,0.39626333784304335,0.22188507606363175,0.21695257315842584
EU-West,979,False,0.675109913926559,0.35397860279337223,0.2280866954661717,0.21450459652706844
LATAM,956,False,0.6625733362790583,0.3705910682727942,0.2329073934347248,0.23221757322175732
